기준_년분기_코드,자치구_코드,총_유동인구_수,월_평균_소득_금액,지출_총금액,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,점포_수,폐업_점포_수,공시지가
20221,11215,94688581,3192971,74897944000.0,93,49,1602,18759,461,4659479
20221,11200,75380060,3734499,72285116000.0,95,51,1693,18544,441,5044931
20221,11170,65112295,3971498,217000000000.0,104,54,1504,18401,397,7270912
20221,11140,56147459,3513603,2320000000000.0,113,59,2071,38622,756,10507645
20221,11110,64579681,3725859,312000000000.0,120,59,2058,23291,488,6283933
20214,11740,111014834,3292857,162000000000.0,92,47,2063,21441,629,3926835
20214,11710,125908617,3995905,188000000000.0,96,48,2810,39566,990,5528940
20214,11680,141200009,4943841,2370000000000.0,89,47,4084,57069,1321,10763797
20214,11650,99560677,4912401,567000000000.0,103,51,2779,37921,875,6415780
20214,11620,131082454,2771927,102000000000.0,89,48,2255,19895,647,3778581
20214,11590,85574567,3454170,161000000000.0,103,52,1934,15435,462,4031081
20214,11560,107849117,3604887,316000000000.0,100,50,2400,26984,660,4214299
20214,11545,38748740,2632285,106000000000.0,94,49,1320,17125,402,2810925
20214,11530,78698310,2994059,1230000000000.0,101,49,2192,23430,519,2836065
20214,11500,114843767,3160623,202000000000.0,81,47,2714,27891,854,2708466
20214,11470,80009867,3796034,283000000000.0,94,48,1762,18546,489,3308006
20214,11440,114118315,3832436,1030000000000.0,81,47,2232,28444,815,5879973
20214,11410,93134304,3417706,127000000000.0,97,51,1909,13987,403,3632641
20214,11380,101701882,2912739,79144765000.0,91,49,2144,18671,529,3085393
20214,11350,100993226,3195375,109000000000.0,90,48,2586,18808,529,2488950
20214,11320,66425922,2785111,44168460000.0,96,47,1432,11508,295,2296875
20214,11305,99016815,2547460,53038871000.0,93,46,1843,13097,395,2513976
20214,11290,118748595,3281773,70795747000.0,95,51,2380,16794,441,3060707
20214,11260,101138502,2598785,59351068000.0,93,47,1840,16294,466,2863589
20214,11230,105445663,3030256,84605930000.0,107,51,1987,20048,481,3586667
20214,11215,92811161,3192971,81262794000.0,92,49,1602,18722,578,4164453
20214,11200,75874853,3734499,79126138000.0,94,51,1693,18420,444,4353738
20214,11170,65725589,3971498,244000000000.0,103,54,1504,18339,396,6552879
20214,11140,57926596,3513603,2400000000000.0,112,59,2071,38457,807,9763913
20214,11110,66974979,3725859,345000000000.0,119,59,2058,23283,497,5781443
20213,11740,112706627,3292857,152000000000.0,92,47,2063,21100,558,3926835
20213,11710,125805497,3995905,170000000000.0,96,48,2810,38981,996,5528940
20213,11680,138283459,4943841,2190000000000.0,89,47,4084,56042,1408,10763797
20213,11650,97350300,4912401,521000000000.0,102,51,2779,37479,858,6415780
20213,11620,131115280,2771927,96343781000.0,89,48,2255,19564,633,3778581
20213,11590,85639365,3454170,148000000000.0,103,52,1934,15260,396,4031081
20213,11560,106613708,3604887,309000000000.0,100,50,2400,26623,702,4214299
20213,11545,38609090,2632285,105000000000.0,94,49,1320,16815,365,2810925
20213,11530,78520253,2994059,1110000000000.0,101,48,2192,23044,591,2836065
20213,11500,115864268,3160623,182000000000.0,81,47,2714,27263,776,2708466
20213,11470,80663524,3796034,274000000000.0,94,47,1762,18202,482,3308006
20213,11440,113070489,3832436,976000000000.0,81,47,2232,27907,824,5879973
20213,11410,90399890,3417706,120000000000.0,97,50,1909,13807,400,3632641
20213,11380,101963337,2912739,75823673000.0,91,49,2144,18311,523,3085393
20213,11350,102094644,3195375,102000000000.0,90,48,2586,18570,544,2488950
20213,11320,66865957,2785111,43090890000.0,95,47,1432,11367,329,2296875
20213,11305,100374447,2547460,50752089000.0,93,46,1843,12910,412,2513976
20213,11290,117697344,3281773,67821028000.0,95,51,2380,16504,473,3060707
20213,11260,102126986,2598785,56582018000.0,94,47,1840,15991,449,2863589
20213,11230,103450240,3030256,81240912000.0,107,51,1987,19828,508,3586667
20213,11215,91874426,3192971,74577971000.0,92,49,1602,18443,545,4164453
20213,11200,75172963,3734499,71492554000.0,94,51,1693,18169,462,4353738
20213,11170,64697735,3971498,247000000000.0,103,54,1504,18119,447,6552879
20213,11140,54994355,3513603,2120000000000.0,111,59,2071,38402,891,9763913
20213,11110,63583792,3725859,315000000000.0,119,59,2058,23161,556,5781443
20212,11740,109916405,3292857,161000000000.0,91,47,2063,20950,670,3926835
20212,11710,126380930,3995905,173000000000.0,95,47,2810,38888,1079,5528940
20212,11680,143911382,4943841,2120000000000.0,88,46,4084,55680,1484,10763797
20212,11650,99514660,4912401,544000000000.0,101,51,2779,37308,910,6415780
20212,11620,132700748,2771927,97017559000.0,88,48,2255,19584,750,3778581
20212,11590,86567725,3454170,149000000000.0,102,52,1934,15288,493,4031081
20212,11560,108599320,3604887,339000000000.0,99,49,2400,26478,815,4214299
20212,11545,38547902,2632285,111000000000.0,93,48,1320,16701,481,2810925
20212,11530,79459428,2994059,901000000000.0,99,48,2192,22989,590,2836065
20212,11500,117812112,3160623,196000000000.0,80,47,2714,27011,908,2708466
20212,11470,81181713,3796034,289000000000.0,93,47,1762,18091,566,3308006
20212,11440,116426436,3832436,1080000000000.0,81,46,2232,27759,890,5879973
20212,11410,94281514,3417706,125000000000.0,96,50,1909,13781,436,3632641
20212,11380,101511871,2912739,74609996000.0,90,49,2144,18219,596,3085393
20212,11350,104061747,3195375,103000000000.0,89,48,2586,18546,628,2488950
20212,11320,67014827,2785111,42510768000.0,94,47,1432,11370,363,2296875
20212,11305,99996537,2547460,50190908000.0,92,46,1843,12933,473,2513976
20212,11290,122030508,3281773,67968262000.0,94,51,2380,16456,547,3060707
20212,11260,102641795,2598785,56221254000.0,93,46,1840,15922,551,2863589
20212,11230,105932469,3030256,79892156000.0,106,50,1987,19769,605,3586667
20212,11215,93795851,3192971,76725196000.0,91,49,1602,18434,610,4164453
20212,11200,77070225,3734499,74658823000.0,93,51,1693,18076,510,4353738
20212,11170,66133738,3971498,240000000000.0,102,54,1504,18094,453,6552879
20212,11140,58504064,3513603,2140000000000.0,110,58,2071,38432,900,9763913
20212,11110,66739796,3725859,314000000000.0,117,58,2058,23216,577,5781443
20211,11740,109872659,3292857,161000000000.0,91,47,2063,20805,634,3926835
20211,11710,127659472,3995905,153000000000.0,94,47,2810,38714,1095,5528940
20211,11680,140991434,4943841,2040000000000.0,87,46,4084,55276,1560,10763797
20211,11650,98889995,4912401,522000000000.0,100,50,2779,37172,1014,6415780
20211,11620,134446692,2771927,87993895000.0,87,47,2255,19543,654,3778581
20211,11590,87992563,3454170,129000000000.0,101,51,1934,15264,440,4031081
20211,11560,108938038,3604887,308000000000.0,98,49,2400,26369,808,4214299
20211,11545,39182852,2632285,87874008000.0,93,48,1320,16602,412,2810925
20211,11530,81043899,2994059,863000000000.0,98,48,2192,22879,599,2836065
20211,11500,121269367,3160623,169000000000.0,80,47,2714,26683,937,2708466
20211,11470,82706108,3796034,275000000000.0,92,47,1762,17991,509,3308006
20211,11440,115538731,3832436,1030000000000.0,80,46,2232,27456,860,5879973
20211,11410,93719989,3417706,109000000000.0,95,50,1909,13729,450,3632641
20211,11380,104199516,2912739,66955061000.0,90,48,2144,18152,574,3085393
20211,11350,105645763,3195375,92961104000.0,88,47,2586,18500,628,2488950
20211,11320,68705741,2785111,38482459000.0,93,47,1432,11329,327,2296875
20211,11305,102521576,2547460,44904206000.0,92,46,1843,12863,396,2513976
20211,11290,123706935,3281773,60954158000.0,94,50,2380,16418,519,3060707
20211,11260,105509837,2598785,50560026000.0,92,46,1840,15838,478,2863589
20211,11230,105983900,3030256,73144541000.0,105,50,1987,19737,555,3586667
20211,11215,95233549,3192971,65426326000.0,90,48,1602,18379,507,4164453
20211,11200,76432709,3734499,64429131000.0,92,50,1693,17996,475,4353738
20211,11170,65905116,3971498,228000000000.0,100,53,1504,18053,519,6552879
20211,11140,56500462,3513603,2020000000000.0,109,58,2071,38483,1053,9763913
20211,11110,64341967,3725859,290000000000.0,116,58,2058,23181,587,5781443
